Sampling Rate : 125Hz,Duration : 20 Minutes 
Time,PPG
0,0.410557185
0.008,0.400782014
0.016,0.391006843
0.024,0.382209189
0.032,0.372434018
0.04,0.363636364
0.048,0.355816227
0.056,0.348973607
0.064,0.344086022
0.072,0.339198436
0.08,0.335288368
0.088,0.330400782
0.096,0.325513196
0.104,0.320625611
0.112,0.316715543
0.12,0.311827957
0.128,0.307917889
0.136,0.30400782
0.144,0.301075269
0.152,0.298142717
0.16,0.296187683
0.168,0.295210166
0.176,0.293255132
0.184,0.291300098
0.192,0.289345064
0.2,0.285434995
0.208,0.282502444
0.216,0.279569892
0.224,0.277614858
0.232,0.275659824
0.24,0.27370479
0.248,0.271749756
0.256,0.270772239
0.264,0.269794721
0.272,0.269794721
0.28,0.268817204
0.288,0.267839687
0.296,0.26686217
0.304,0.265884653
0.312,0.263929619
0.32,0.262952102
0.328,0.260997067
0.336,0.260997067
0.344,0.26001955
0.352,0.26001955
0.36,0.260997067
0.368,0.261974585
0.376,0.261974585
0.384,0.261974585
0.392,0.262952102
0.4,0.261974585
0.408,0.261974585
0.416,0.261974585
0.424,0.260997067
0.432,0.260997067
0.44,0.260997067
0.448,0.26001955
0.456,0.26001955
0.464,0.260997067
0.472,0.260997067
0.48,0.263929619
0.488,0.269794721
0.496,0.28054741
0.504,0.2971652
0.512,0.321603128
0.52,0.353861193
0.528,0.392961877
0.536,0.439882698
0.544,0.490713587
0.552,0.543499511
0.56,0.588465298
0.568,0.626588465
0.576,0.66568915
0.584,0.698924731
0.592,0.725317693
0.6,0.742913001
0.608,0.752688172
0.616,0.755620723
0.624,0.752688172
0.632,0.745845552
0.64,0.736070381
0.648,0.72629521
0.656,0.717497556
0.664,0.709677419
0.672,0.703812317
0.68,0.700879765
0.688,0.699902248
0.696,0.7028348
0.704,0.706744868
0.712,0.712609971
0.72,0.718475073
0.728,0.723362659
0.736,0.72629521
0.744,0.723362659
0.752,0.715542522
0.76,0.707722385
0.768,0.697947214
0.776,0.686217009
0.784,0.672531769
0.792,0.656891496
0.8,0.642228739
0.808,0.627565982
0.816,0.61485826
0.824,0.604105572
0.832,0.595307918
0.84,0.589442815
0.848,0.585532747
0.856,0.582600196
0.864,0.580645161
0.872,0.578690127
0.88,0.575757576
0.888,0.573802542
0.896,0.57086999
0.904,0.566959922
0.912,0.562072336
0.92,0.556207234
0.928,0.550342131
0.936,0.542521994
0.944,0.534701857
0.952,0.52688172
0.96,0.519061584
0.968,0.511241447
0.976,0.50342131
0.984,0.494623656
0.992,0.486803519
1,0.478005865
1.008,0.470185728
1.016,0.462365591
1.024,0.454545455
1.032,0.446725318
1.04,0.439882698
1.048,0.433040078
1.056,0.428152493
1.064,0.423264907
1.072,0.418377322
1.08,0.413489736
1.088,0.409579668
1.096,0.404692082
1.104,0.400782014
1.112,0.396871945
1.12,0.393939394
1.128,0.390029326
1.136,0.387096774
1.144,0.384164223
1.152,0.381231672
1.16,0.379276637
1.168,0.377321603
1.176,0.375366569
1.184,0.373411535
1.192,0.3714565
1.2,0.368523949
1.208,0.366568915
1.216,0.364613881
