Sampling Rate : 100Hz,Duration : 3 Minutes
Time,PPG
0,-126359
0.01,-126359
0.02,-126362
0.03,-126367
0.04,-126358
0.05,-126360
0.06,-126360
0.07,-126360
0.08,-126360
0.09,-126360
0.1,-126375
0.11,-126368
0.12,-126377
0.13,-126386
0.14,-126382
0.15,-126397
0.16,-126402
0.17,-126410
0.18,-126407
0.19,-126415
0.2,-126417
0.21,-126421
0.22,-126425
0.23,-126429
0.24,-126428
0.25,-126433
0.26,-126437
0.27,-126444
0.28,-126448
0.29,-126456
0.3,-126451
0.31,-126450
0.32,-126465
0.33,-126467
0.34,-126483
0.35,-126475
0.36,-126479
0.37,-126474
0.38,-126476
0.39,-126487
0.4,-126487
0.41,-126496
0.42,-126496
0.43,-126494
0.44,-126499
0.45,-126506
0.46,-126503
0.47,-126512
0.48,-126522
0.49,-126522
0.5,-126531
0.51,-126529
0.52,-126525
0.53,-126528
0.54,-126529
0.55,-126540
0.56,-126543
0.57,-126544
0.58,-126543
0.59,-126549
0.6,-126556
0.61,-126550
0.62,-126560
0.63,-126567
0.64,-126579
0.65,-126587
0.66,-126593
0.67,-126591
0.68,-126586
0.69,-126579
0.7,-126559
0.71,-126532
0.72,-126494
0.73,-126452
0.74,-126414
0.75,-126366
0.76,-126333
0.77,-126304
0.78,-126273
0.79,-126257
0.8,-126240
0.81,-126235
0.82,-126204
0.83,-126210
0.84,-126190
0.85,-126186
0.86,-126180
0.87,-126171
0.88,-126168
0.89,-126167
0.9,-126164
0.91,-126162
0.92,-126169
0.93,-126167
0.94,-126178
0.95,-126189
0.96,-126190
0.97,-126201
0.98,-126214
0.99,-126219
1,-126223
1.01,-126233
1.02,-126244
1.03,-126251
1.04,-126267
1.05,-126275
1.06,-126282
1.07,-126289
1.08,-126304
1.09,-126318
1.1,-126319
1.11,-126327
1.12,-126337
1.13,-126347
1.14,-126353
1.15,-126369
1.16,-126378
1.17,-126386
1.18,-126395
1.19,-126390
1.2,-126399
1.21,-126407
1.22,-126399
1.23,-126404
1.24,-126410
1.25,-126417
1.26,-126412
1.27,-126421
1.28,-126410
1.29,-126417
1.3,-126410
1.31,-126412
1.32,-126416
1.33,-126408
1.34,-126405
1.35,-126403
1.36,-126407
1.37,-126398
1.38,-126403
1.39,-126409
1.4,-126401
1.41,-126403
1.42,-126403
1.43,-126397
1.44,-126405
1.45,-126401
1.46,-126399
1.47,-126406
1.48,-126403
1.49,-126407
1.5,-126415
1.51,-126417
1.52,-126422
1.53,-126422
1.54,-126434
1.55,-126429
1.56,-126433
1.57,-126429
1.58,-126438
1.59,-126450
1.6,-126448
1.61,-126459
1.62,-126461
1.63,-126461
1.64,-126470
1.65,-126474
1.66,-126478
1.67,-126482
1.68,-126475
1.69,-126486
1.7,-126497
1.71,-126495
1.72,-126499
1.73,-126504
1.74,-126509
1.75,-126510
1.76,-126516
1.77,-126517
1.78,-126517
1.79,-126528
1.8,-126531
1.81,-126528
1.82,-126534
1.83,-126533
1.84,-126549
1.85,-126538
1.86,-126550
1.87,-126557
1.88,-126553
1.89,-126558
1.9,-126556
1.91,-126560
1.92,-126563
1.93,-126566
1.94,-126572
1.95,-126568
1.96,-126581
1.97,-126580
1.98,-126587
1.99,-126590
2,-126603
2.01,-126599
2.02,-126612
2.03,-126608
2.04,-126616
2.05,-126620
2.06,-126610
2.07,-126586
2.08,-126561
2.09,-126525
2.1,-126492
2.11,-126452
2.12,-126406
2.13,-126372
2.14,-126330
2.15,-126313
2.16,-126298
2.17,-126286
2.18,-126267
2.19,-126253
2.2,-126245
2.21,-126240
2.22,-126230
2.23,-126225
2.24,-126227
2.25,-126217
2.26,-126205
2.27,-126211
2.28,-126208
2.29,-126205
2.3,-126216
2.31,-126217
2.32,-126234
2.33,-126230
2.34,-126239
2.35,-126248
2.36,-126247
2.37,-126270
2.38,-126273
2.39,-126280
2.4,-126282
2.41,-126299
2.42,-126310
2.43,-126315
2.44,-126329
2.45,-126339
2.46,-126348
2.47,-126349
2.48,-126364
2.49,-126364
2.5,-126382
2.51,-126397
2.52,-126400
2.53,-126418
2.54,-126418
2.55,-126426
2.56,-126427
2.57,-126429
2.58,-126441
2.59,-126441
2.6,-126452
2.61,-126459
2.62,-126452
2.63,-126454
2.64,-126455
2.65,-126458
2.66,-126468
2.67,-126455
2.68,-126460
2.69,-126452
2.7,-126458
2.71,-126451
2.72,-126459
2.73,-126444
2.74,-126450
2.75,-126451
2.76,-126453
2.77,-126450
2.78,-126441
2.79,-126443
2.8,-126445
2.81,-126452
2.82,-126448
2.83,-126447
2.84,-126449
2.85,-126450
2.86,-126451
2.87,-126456
2.88,-126456
2.89,-126465
2.9,-126470
2.91,-126472
2.92,-126475
2.93,-126470
2.94,-126472
2.95,-126471
2.96,-126490
2.97,-126495
2.98,-126498
2.99,-126503
3,-126506
3.01,-126501
3.02,-126509
3.03,-126511
3.04,-126512
3.05,-126515
3.06,-126523
3.07,-126522
3.08,-126546
3.09,-126541
3.1,-126545
3.11,-126552
3.12,-126547
3.13,-126555
3.14,-126555
3.15,-126563
3.16,-126561
3.17,-126578
3.18,-126563
3.19,-126575
3.2,-126573
3.21,-126585
3.22,-126588
3.23,-126593
3.24,-126591
3.25,-126591
3.26,-126593
3.27,-126595
3.28,-126600
3.29,-126605
3.3,-126609
3.31,-126618
3.32,-126616
3.33,-126615
3.34,-126620
3.35,-126623
3.36,-126625
3.37,-126626
3.38,-126621
3.39,-126603
3.4,-126570
3.41,-126544
3.42,-126510
3.43,-126476
3.44,-126439
3.45,-126403
3.46,-126384
3.47,-126352
3.48,-126342
3.49,-126324
3.5,-126302
3.51,-126298
3.52,-126294
3.53,-126276
3.54,-126260
3.55,-126244
3.56,-126239
3.57,-126239
3.58,-126236
3.59,-126237
3.6,-126239
3.61,-126225
3.62,-126229
3.63,-126238
3.64,-126237
3.65,-126244
3.66,-126260
3.67,-126265
3.68,-126267
3.69,-126266
3.7,-126276
3.71,-126289
3.72,-126298
3.73,-126313
3.74,-126321
3.75,-126324
3.76,-126337
3.77,-126347
3.78,-126361
3.79,-126364
3.8,-126381
3.81,-126391
3.82,-126404
3.83,-126412
3.84,-126429
3.85,-126430
3.86,-126442
3.87,-126451
3.88,-126456
3.89,-126461
3.9,-126461
3.91,-126462
3.92,-126472
3.93,-126470
3.94,-126472
3.95,-126481
3.96,-126474
3.97,-126483
3.98,-126478
3.99,-126472
4,-126472
4.01,-126476
4.02,-126477
4.03,-126476
4.04,-126473
4.05,-126475
4.06,-126472
4.07,-126464
4.08,-126460
4.09,-126469
4.1,-126453
4.11,-126450
4.12,-126463
4.13,-126460
4.14,-126470
4.15,-126469
4.16,-126476
4.17,-126477
4.18,-126485
4.19,-126475
4.2,-126474
4.21,-126486
4.22,-126484
4.23,-126489
4.24,-126486
4.25,-126500
4.26,-126505
4.27,-126503
4.28,-126506
4.29,-126513
4.3,-126519
4.31,-126517
4.32,-126517
4.33,-126523
4.34,-126525
4.35,-126529
4.36,-126539
4.37,-126547
4.38,-126545
4.39,-126547
4.4,-126558
4.41,-126553
4.42,-126560
4.43,-126558
4.44,-126564
4.45,-126579
4.46,-126570
4.47,-126577
4.48,-126577
4.49,-126577
4.5,-126592
4.51,-126588
4.52,-126590
4.53,-126590
4.54,-126598
4.55,-126594
4.56,-126604
4.57,-126611
4.58,-126607
4.59,-126618
4.6,-126608
4.61,-126614
4.62,-126615
4.63,-126625
4.64,-126625
4.65,-126628
4.66,-126627
4.67,-126601
4.68,-126577
4.69,-126568
4.7,-126530
4.71,-126498
4.72,-126457
4.73,-126422
4.74,-126404
4.75,-126373
4.76,-126349
4.77,-126324
4.78,-126324
4.79,-126318
4.8,-126305
4.81,-126288
4.82,-126281
4.83,-126264
4.84,-126256
4.85,-126252
4.86,-126241
4.87,-126237
4.88,-126230
4.89,-126245
4.9,-126244
4.91,-126231
4.92,-126236
4.93,-126244
4.94,-126247
4.95,-126252
4.96,-126250
4.97,-126262
4.98,-126268
4.99,-126272
5,-126291
5.01,-126289
5.02,-126312
5.03,-126324
5.04,-126324
5.05,-126326
5.06,-126331
5.07,-126351
5.08,-126353
5.09,-126365
5.1,-126364
5.11,-126385
5.12,-126392
5.13,-126395
5.14,-126403
5.15,-126419
5.16,-126428
5.17,-126426
5.18,-126434
5.19,-126445
5.2,-126446
5.21,-126462
5.22,-126469
5.23,-126455
5.24,-126470
5.25,-126471
5.26,-126460
5.27,-126460
5.28,-126475
5.29,-126471
5.3,-126464
5.31,-126461
5.32,-126460
5.33,-126446
5.34,-126455
5.35,-126456
5.36,-126445
5.37,-126448
5.38,-126446
5.39,-126457
5.4,-126451
5.41,-126453
5.42,-126451
5.43,-126450
5.44,-126447
5.45,-126447
5.46,-126454
5.47,-126450
5.48,-126458
5.49,-126453
5.5,-126462
5.51,-126462
5.52,-126465
5.53,-126470
5.54,-126470
5.55,-126475
5.56,-126474
5.57,-126471
5.58,-126490
5.59,-126477
5.6,-126491
5.61,-126495
5.62,-126493
5.63,-126499
5.64,-126496
5.65,-126510
5.66,-126511
5.67,-126513
5.68,-126516
5.69,-126527
5.7,-126530
5.71,-126525
5.72,-126528
5.73,-126534
5.74,-126540
5.75,-126540
5.76,-126545
5.77,-126545
5.78,-126548
5.79,-126543
5.8,-126558
5.81,-126557
5.82,-126553
5.83,-126560
5.84,-126572
5.85,-126577
5.86,-126576
