Sampling Rate : 100Hz,Duration : 210 seconds
Time,PPG
0,-233126
0.01,-233193
0.02,-233238
0.03,-233287
0.04,-233322
0.05,-233354
0.06,-233372
0.07,-233372
0.08,-233372
0.09,-233372
0.1,-233373
0.11,-233384
0.12,-233373
0.13,-233361
0.14,-233339
0.15,-233317
0.16,-233289
0.17,-233279
0.18,-233260
0.19,-233253
0.2,-233217
0.21,-233209
0.22,-233205
0.23,-233194
0.24,-233186
0.25,-233170
0.26,-233191
0.27,-233190
0.28,-233201
0.29,-233215
0.3,-233241
0.31,-233280
0.32,-233277
0.33,-233325
0.34,-233361
0.35,-233393
0.36,-233431
0.37,-233457
0.38,-233513
0.39,-233549
0.4,-233590
0.41,-233632
0.42,-233666
0.43,-233709
0.44,-233754
0.45,-233808
0.46,-233843
0.47,-233888
0.48,-233925
0.49,-233973
0.5,-234008
0.51,-234055
0.52,-234098
0.53,-234130
0.54,-234172
0.55,-234219
0.56,-234255
0.57,-234302
0.58,-234336
0.59,-234378
0.6,-234416
0.61,-234459
0.62,-234499
0.63,-234536
0.64,-234580
0.65,-234612
0.66,-234641
0.67,-234679
0.68,-234714
0.69,-234749
0.7,-234786
0.71,-234804
0.72,-234844
0.73,-234862
0.74,-234893
0.75,-234905
0.76,-234914
0.77,-234911
0.78,-234861
0.79,-234793
0.8,-234699
0.81,-234576
0.82,-234425
0.83,-234246
0.84,-234052
0.85,-233806
0.86,-233590
0.87,-233321
0.88,-233070
0.89,-232806
0.9,-232552
0.91,-232314
0.92,-232084
0.93,-231880
0.94,-231692
0.95,-231526
0.96,-231402
0.97,-231290
0.98,-231210
0.99,-231145
1,-231102
1.01,-231078
1.02,-231064
1.03,-231076
1.04,-231081
1.05,-231114
1.06,-231149
1.07,-231197
1.08,-231252
1.09,-231292
1.1,-231354
1.11,-231400
1.12,-231453
1.13,-231504
1.14,-231583
1.15,-231640
1.16,-231726
1.17,-231801
1.18,-231888
1.19,-231965
1.2,-232046
1.21,-232129
1.22,-232213
1.23,-232277
1.24,-232382
1.25,-232454
1.26,-232532
1.27,-232601
1.28,-232663
1.29,-232726
1.3,-232780
1.31,-232821
1.32,-232861
1.33,-232886
1.34,-232898
1.35,-232901
1.36,-232925
1.37,-232922
1.38,-232914
1.39,-232893
1.4,-232867
1.41,-232851
1.42,-232826
1.43,-232783
1.44,-232768
1.45,-232741
1.46,-232733
1.47,-232718
1.48,-232694
1.49,-232673
1.5,-232648
1.51,-232642
1.52,-232649
1.53,-232629
1.54,-232631
1.55,-232636
1.56,-232645
1.57,-232650
1.58,-232658
1.59,-232674
1.6,-232687
1.61,-232708
1.62,-232709
1.63,-232744
1.64,-232756
1.65,-232769
1.66,-232806
1.67,-232836
1.68,-232878
1.69,-232906
1.7,-232945
1.71,-232989
1.72,-233023
1.73,-233080
1.74,-233128
1.75,-233172
1.76,-233227
1.77,-233271
1.78,-233317
1.79,-233368
1.8,-233410
1.81,-233454
1.82,-233496
1.83,-233541
1.84,-233574
1.85,-233618
1.86,-233668
1.87,-233701
1.88,-233747
1.89,-233793
1.9,-233819
1.91,-233860
1.92,-233892
1.93,-233925
1.94,-233955
1.95,-234010
1.96,-234043
1.97,-234089
1.98,-234112
1.99,-234150
2,-234184
2.01,-234222
2.02,-234255
2.03,-234282
2.04,-234294
2.05,-234299
2.06,-234282
2.07,-234229
2.08,-234143
2.09,-234029
2.1,-233887
2.11,-233720
2.12,-233506
2.13,-233274
2.14,-233040
2.15,-232765
2.16,-232511
2.17,-232228
2.18,-231953
2.19,-231684
2.2,-231454
2.21,-231232
2.22,-231028
2.23,-230865
2.24,-230721
2.25,-230591
2.26,-230502
2.27,-230427
2.28,-230400
2.29,-230363
2.3,-230358
2.31,-230360
2.32,-230382
2.33,-230418
2.34,-230459
2.35,-230493
2.36,-230553
2.37,-230604
2.38,-230673
2.39,-230740
2.4,-230809
2.41,-230895
2.42,-230974
2.43,-231038
2.44,-231038
2.45,-231127
2.46,-231212
2.47,-231297
2.48,-231389
2.49,-231477
2.5,-231565
2.51,-231663
2.52,-231663
2.53,-231739
2.54,-231820
2.55,-231900
2.56,-231973
2.57,-232047
2.58,-232117
2.59,-232167
2.6,-232220
2.61,-232259
2.62,-232298
2.63,-232332
2.64,-232348
2.65,-232362
2.66,-232385
2.67,-232385
2.68,-232386
2.69,-232378
2.7,-232362
2.71,-232354
2.72,-232331
2.73,-232314
2.74,-232285
2.75,-232262
2.76,-232234
2.77,-232202
2.78,-232170
2.79,-232137
2.8,-232123
2.81,-232107
2.82,-232075
2.83,-232059
2.84,-232040
2.85,-232041
2.86,-232045
2.87,-232042
2.88,-232053
2.89,-232076
2.9,-232089
2.91,-232089
2.92,-232082
2.93,-232118
2.94,-232144
2.95,-232174
2.96,-232194
2.97,-232252
2.98,-232288
2.99,-232323
3,-232361
3.01,-232394
3.02,-232429
3.03,-232453
3.04,-232491
3.05,-232539
3.06,-232568
3.07,-232615
3.08,-232646
3.09,-232689
3.1,-232740
3.11,-232790
3.12,-232835
3.13,-232883
3.14,-232926
3.15,-232965
3.16,-233013
3.17,-233044
3.18,-233098
3.19,-233118
3.2,-233164
3.21,-233210
3.22,-233254
3.23,-233293
3.24,-233330
3.25,-233370
3.26,-233403
3.27,-233449
3.28,-233487
3.29,-233540
3.3,-233578
3.31,-233618
3.32,-233655
3.33,-233686
3.34,-233729
3.35,-233756
3.36,-233788
3.37,-233807
3.38,-233810
3.39,-233784
3.4,-233734
3.41,-233734
3.42,-233647
3.43,-233528
3.44,-233378
3.45,-233220
3.46,-233007
3.47,-232777
3.48,-232529
3.49,-232255
3.5,-231967
3.51,-231690
3.52,-231402
3.53,-231124
3.54,-230878
3.55,-230633
3.56,-230633
3.57,-230633
3.58,-230418
3.59,-230239
3.6,-230077
3.61,-229951
3.62,-229848
3.63,-229786
3.64,-229732
3.65,-229717
3.66,-229698
3.67,-229698
3.68,-229709
3.69,-229727
3.7,-229773
3.71,-229828
3.72,-229874
3.73,-229925
3.74,-229991
3.75,-230059
3.76,-230143
3.77,-230214
3.78,-230299
3.79,-230375
3.8,-230468
3.81,-230549
3.82,-230645
3.83,-230734
3.84,-230826
3.85,-230936
3.86,-231041
3.87,-231114
3.88,-231194
3.89,-231281
3.9,-231355
3.91,-231428
3.92,-231494
3.93,-231563
3.94,-231626
3.95,-231673
3.96,-231719
3.97,-231761
3.98,-231788
3.99,-231809
4,-231818
4.01,-231839
4.02,-231817
4.03,-231812
4.04,-231784
4.05,-231763
4.06,-231722
4.07,-231696
4.08,-231660
4.09,-231621
4.1,-231589
4.11,-231534
4.12,-231495
4.13,-231467
4.14,-231467
4.15,-231431
4.16,-231396
4.17,-231362
4.18,-231341
4.19,-231301
4.2,-231295
4.21,-231272
4.22,-231275
4.23,-231262
4.24,-231269
4.25,-231273
4.26,-231298
4.27,-231323
4.28,-231327
4.29,-231360
4.3,-231384
4.31,-231404
4.32,-231433
4.33,-231456
4.34,-231485
4.35,-231527
4.36,-231560
4.37,-231606
4.38,-231635
4.39,-231689
4.4,-231707
4.41,-231756
4.42,-231789
4.43,-231841
4.44,-231897
4.45,-231945
4.46,-231987
4.47,-232049
4.48,-232087
4.49,-232147
4.5,-232196
4.51,-232225
4.52,-232280
4.53,-232330
