Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
0,-66835.53906
0.0078125,-68639.05469
0.015625,-70281.98438
0.0234375,-71705.11719
0.03125,-73029.98438
0.0390625,-74517.57813
0.046875,-76344.54688
0.0546875,-78365
0.0625,-80126.21875
0.0703125,-81233.71094
0.078125,-81794.10156
0.0859375,-82472.64063
0.09375,-83930.14063
0.1015625,-85995.58594
0.109375,-87320.41406
0.1171875,-86021.52344
0.125,-81019.73438
0.1328125,-73081.40625
0.140625,-64662.00781
0.1484375,-58526.58203
0.15625,-56118.98438
0.1640625,-56855.21875
0.171875,-58794.53516
0.1796875,-60075.06641
0.1875,-60001.11328
0.1953125,-59099.01172
0.203125,-58329.23047
0.2109375,-58238.29688
0.21875,-58680.17578
0.2265625,-59148.99609
0.234375,-59282.19141
0.2421875,-59091.91406
0.25,-58832.14844
0.2578125,-58721
0.265625,-58789.47266
0.2734375,-58924.24609
0.28125,-59007.91406
0.2890625,-59006.01953
0.296875,-58956.25781
0.3046875,-58908.71484
0.3125,-58880.66797
0.3203125,-58862.74609
0.328125,-58841.03516
0.3359375,-58816.39063
0.34375,-58800.34375
0.3515625,-58800.81641
0.359375,-58813.19531
0.3671875,-58823.02344
0.375,-58819.85938
0.3828125,-58804.91797
0.390625,-58792.35938
0.3984375,-58795.85938
0.40625,-58817.89063
0.4140625,-58845.70313
0.421875,-58860.0625
0.4296875,-58850.44922
0.4375,-58822.14844
0.4453125,-58795.45703
0.453125,-58789.14063
0.4609375,-58809.23828
0.46875,-58844.30859
0.4765625,-58873.87891
0.484375,-58882.91797
0.4921875,-58869.18359
0.5,-58845.74609
0.5078125,-58824.74219
0.515625,-58815.28516
0.5234375,-58815.46484
0.53125,-58817.28906
0.5390625,-58814.73828
0.546875,-58807.61719
0.5546875,-58802.29688
0.5625,-58803.54297
0.5703125,-58811.04297
0.578125,-58818.73438
0.5859375,-58820.85547
0.59375,-58817.5
0.6015625,-58814.10156
0.609375,-58816.81641
0.6171875,-58824.59766
0.625,-58829.48438
0.6328125,-58821.25
0.640625,-58797.22656
0.6484375,-58766.44141
0.65625,-58744.76563
0.6640625,-58745.28125
0.671875,-58767.57422
0.6796875,-58799.58594
0.6875,-58823.27734
0.6953125,-58827.82813
0.703125,-58815.50781
0.7109375,-58799.10938
0.71875,-58792.87109
