Feature,Value
Heart Rate (BPM),19.642422955591798
Respiratory Rate (breaths/min),15.088929437949911
Systolic Amplitude,1.0
SNR,42.141956325199395
Kurtosis,14.85988874694564
Skewness,1.786151728473512
Irregular Heart Rate,True
Abnormal Waveform,True
Mean Heart Rate,"{'mean_heart_rate': np.float64(19.642422955591798), 'heart_rates': array([12.97577855, 13.34519573, 29.06976744, 19.84126984, 13.44086022,
       17.68867925, 13.51351351, 13.39285714, 13.27433628, 29.88047809,
       18.29268293, 12.82051282, 27.57352941, 21.18644068, 13.34519573,
       12.82051282, 13.32149201, 12.69035533, 12.43781095, 14.73477407,
       12.84246575, 14.39539347, 14.76377953, 34.40366972, 19.78891821,
       12.29508197, 12.84246575, 13.63636364, 17.98561151, 15.625     ,
       13.66120219, 16.05995717, 12.97577855, 34.56221198, 21.06741573,
       28.73563218, 19.48051948, 15.43209877, 20.49180328, 13.8121547 ,
       43.10344828, 18.98734177, 12.66891892, 12.88659794, 14.07129456,
       35.21126761, 21.42857143, 12.11631664, 13.08900524, 15.12096774,
       14.97005988, 15.27494908, 15.12096774, 13.15789474, 13.53790614,
       43.60465116, 21.00840336, 44.11764706, 21.00840336, 11.36363636,
       13.48920863, 23.80952381, 17.77251185, 13.8121547 , 15.18218623,
       14.23149905, 17.24137931, 13.22751323, 13.58695652, 14.34034417,
       14.61988304, 16.62971175, 19.18158568, 55.97014925, 20.49180328,
       19.68503937, 15.12096774, 14.91053678, 17.56440281, 19.68503937,
       13.91465677, 14.42307692, 18.65671642, 14.88095238, 14.53488372,
       15.30612245, 13.44086022, 13.32149201, 17.44186047, 11.70046802,
       27.98507463, 18.93939394, 15.625     , 12.9982669 , 15.12096774,
       13.88888889, 20.21563342, 15.27494908, 14.6484375 , 39.0625    ,
       20.38043478, 13.08900524, 13.63636364, 18.11594203, 20.77562327,
       14.73477407, 19.8938992 , 18.93939394, 17.77251185, 21.36752137,
       13.78676471, 22.86585366, 19.37984496, 13.41681574, 28.40909091,
       21.92982456, 12.864494  , 20.77562327, 21.80232558, 37.87878788,
       18.2038835 , 11.39817629, 10.50420168, 17.68867925, 22.32142857,
       15.15151515, 20.94972067, 33.18584071, 20.        , 12.56281407,
       31.38075314, 20.49180328, 14.23149905, 13.04347826, 13.15789474,
       13.06620209, 14.12429379, 60.48387097, 17.98561151, 13.48920863,
       15.43209877, 14.07129456, 12.69035533, 13.83763838, 35.71428571,
       21.9941349 , 30.99173554, 16.30434783, 14.17769376, 14.47876448,
       12.39669421, 15.24390244, 20.        , 18.4729064 , 21.30681818,
       13.18101933, 12.09677419, 27.27272727, 19.37984496, 12.69035533,
       13.06620209, 13.04347826, 13.27433628, 12.21498371, 12.41721854,
       13.32149201, 13.96648045, 14.04494382, 33.78378378, 20.        ,
       13.36898396, 11.96172249, 13.53790614, 14.82213439, 15.33742331,
       16.1987041 , 12.69035533, 10.90116279, 14.20454545, 33.78378378,
       23.00613497, 32.05128205, 20.54794521, 15.06024096, 14.01869159,
       12.52086811, 13.11188811, 13.58695652, 29.88047809, 19.23076923,
       19.43005181, 21.00840336, 14.70588235, 21.36752137, 24.75247525,
       22.72727273, 14.12429379, 22.32142857, 19.48051948, 22.32142857,
       14.28571429, 13.02083333, 14.6484375 , 30.6122449 , 20.16129032,
       12.37623762, 12.95336788, 26.78571429, 19.68503937, 13.56238698,
       13.66120219, 14.01869159, 13.96648045, 34.56221198, 20.21563342,
       14.07129456, 14.94023904, 16.37554585, 14.79289941, 14.04494382,
       14.94023904, 15.85623679, 14.6484375 , 13.91465677, 12.62626263,
       13.41681574, 15.12096774, 13.96648045, 13.8121547 , 14.76377953,
       14.61988304, 14.82213439, 13.13485114, 16.62971175, 13.32149201,
       32.05128205, 21.42857143, 14.53488372, 15.03006012, 14.25855513,
       16.8161435 , 16.23376623, 13.36898396, 13.20422535, 13.99253731,
       17.89976134, 15.18218623, 26.22377622, 21.61383285, 16.77852349,
       18.75      , 13.36898396, 14.73477407, 15.18218623, 14.53488372,
       14.1509434 , 16.26898048, 12.37623762, 16.48351648, 19.28020566,
       24.35064935, 16.8161435 , 40.98360656, 23.4375    , 18.98734177,
       15.75630252, 22.25519288, 17.24137931, 13.22751323, 15.59251559,
       21.55172414, 24.35064935, 33.18584071, 32.05128205, 30.36437247,
       26.78571429, 30.12048193, 18.02884615, 14.04494382, 21.9941349 ,
       17.85714286, 24.35064935, 26.31578947, 23.14814815, 23.29192547,
       21.9941349 , 27.77777778, 20.77562327, 23.73417722, 15.36885246,
       20.05347594, 19.23076923, 16.0944206 , 21.86588921, 24.59016393,
       25.68493151, 46.58385093, 25.95155709, 21.18644068, 26.31578947,
       17.1624714 , 24.50980392, 17.64705882, 26.59574468, 25.42372881,
       25.25252525, 31.51260504, 15.92356688, 25.59726962, 26.59574468,
       25.59726962, 37.5       , 20.16129032, 29.88047809, 27.88104089,
       32.7510917 , 26.69039146, 30.12048193, 26.78571429, 33.03964758,
       34.24657534, 26.4084507 , 27.07581227, 33.93665158, 15.78947368,
       14.97005988, 31.38075314, 39.26701571, 20.05347594, 26.13240418,
       22.25519288, 26.4084507 , 26.22377622, 34.56221198, 12.52086811,
       25.        , 27.47252747, 20.6043956 , 17.12328767, 26.97841727,
       16.30434783, 22.12389381, 28.73563218, 13.63636364, 15.95744681,
       22.18934911, 34.40366972, 27.27272727, 29.76190476, 25.59726962])}"
Mean Respiratory Rate,15.088929437949911
Mean Systolic Amplitude,1.0
Arrhythmia Detected,Yes
Segment Time Start,122.416
Segment Time End,1179.232
